date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:04	184287/184287	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2024%20Sep%202021%2023:02:12%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/bundles/libscripts.bundle.js	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/bundles/libscripts.bundle.js	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:30:05	101698/101698	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2024%20Sep%202021%2023:02:18%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/bundles/dataTables.bundle.js	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/bundles/dataTables.bundle.js	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:30:05	478737/478737	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2024%20Sep%202021%2023:02:16%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/bundles/apexcharts.bundle.js	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/bundles/apexcharts.bundle.js	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:30:05	6691/6691	---M-Z	200	added ('OK')	application/javascript	etag:%2282a000d-1a23-5cb072f0acd80-gzip%22	https://www.pixelwibes.com/template/ebazar/html/js/template.js	D:/New/www.pixelwibes.com/template/ebazar/html/js/template.js	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:30:05	10595/10595	---M-Z	200	added ('OK')	application/javascript	etag:%2282a000b-2963-5cb0baf703b00-gzip%22	https://www.pixelwibes.com/template/ebazar/html/js/page/index.js	D:/New/www.pixelwibes.com/template/ebazar/html/js/page/index.js	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:30:06	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/New/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.pixelwibes.com/template/ebazar/html/dist/assets/css/ebazar.style.min.css)
13:30:06	60859/60859	---M-Z	200	added ('OK')	text/css	etag:W/%22edbb-Du3MPQ7GnRobCfGvnAP4Uqb5QVI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css	D:/New/cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css	(from https://www.pixelwibes.com/template/ebazar/html/dist/assets/css/ebazar.style.min.css)
13:30:08	1094407/1094407	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2009%20Aug%202018%2013:59:04%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/fonts/icofont/fonts/icofont.eot	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/fonts/icofont/fonts/icofont.eot	(from https://www.pixelwibes.com/template/ebazar/html/dist/assets/css/ebazar.style.min.css)
13:30:09	1094407/1094407	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2009%20Aug%202018%2013:59:04%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/fonts/icofont/fonts/icofont.eot?	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/fonts/icofont/fonts/icofontd41d.eot	(from https://www.pixelwibes.com/template/ebazar/html/dist/assets/css/ebazar.style.min.css)
13:30:09	645604/645604	---M--	200	added ('OK')	font/woff	date:Thu,%2009%20Aug%202018%2013:59:04%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/fonts/icofont/fonts/icofont.woff	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/fonts/icofont/fonts/icofont.woff	(from https://www.pixelwibes.com/template/ebazar/html/dist/assets/css/ebazar.style.min.css)
13:30:09	2363341/2363341	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2002%20Sep%202021%2018:16:40%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/fonts/icofont/fonts/icofont.svg	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/fonts/icofont/fonts/icofont.svg	(from https://www.pixelwibes.com/template/ebazar/html/dist/assets/css/ebazar.style.min.css)
13:30:10	4274/4274	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Jun%202021%2020:04:14%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/plugin/nouislider/nouislider.min.css	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/plugin/nouislider/nouislider.min.css	(from https://www.pixelwibes.com/template/ebazar/html/dist/product-grid.html)
13:30:10	1041096/1041096	---M--	200	added ('OK')	font/ttf	date:Thu,%2009%20Aug%202018%2013:59:04%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/fonts/icofont/fonts/icofont.ttf	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/fonts/icofont/fonts/icofont.ttf	(from https://www.pixelwibes.com/template/ebazar/html/dist/assets/css/ebazar.style.min.css)
13:30:10	20402/20402	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Sep%202021%2001:57:52%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-5.jpg	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-5.jpg	(from https://www.pixelwibes.com/template/ebazar/html/dist/product-grid.html)
13:30:10	8741/8741	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Sep%202021%2001:58:04%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-6.jpg	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-6.jpg	(from https://www.pixelwibes.com/template/ebazar/html/dist/product-grid.html)
13:30:10	17663/17663	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Sep%202021%2001:58:24%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-7.jpg	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-7.jpg	(from https://www.pixelwibes.com/template/ebazar/html/dist/product-grid.html)
13:30:10	25376/25376	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Jun%202021%2020:07:58%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/plugin/nouislider/nouislider.min.js	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/plugin/nouislider/nouislider.min.js	(from https://www.pixelwibes.com/template/ebazar/html/dist/product-grid.html)
13:30:11	2255/2255	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Nov%202016%2022:15:50%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/plugin/multi-select/css/multi-select.css	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/plugin/multi-select/css/multi-select.css	(from https://www.pixelwibes.com/template/ebazar/html/dist/product-edit.html)
13:30:11	1303/1303	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Dec%202017%2001:48:18%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/assets/plugin/bootstrap-tagsinput/bootstrap-tagsinput.css	D:/New/www.pixelwibes.com/template/ebazar/html/dist/assets/plugin/bootstrap-tagsinput/bootstrap-tagsinput.css	(from https://www.pixelwibes.com/template/ebazar/html/dist/product-edit.html)
